Query	Strain	SubjStart	SubjEnd	Identities	QueryCoverage	PercentID	Length	e-value
HE584753.1	gi|347298889|emb|HE584753.1|_Influenza_A_virus_(A/swine/La_Habana/130/2010(H1N1))_segment_1,_complete_genome	1	2280	2280	100.0	100.0	2280	0.0
HE584753.1	gi|347360867|emb|HE589463.1|_Influenza_A_virus_(A/swine/Pinar_del_Rio/3/2010(H1N1))_segment_1,_complete_genome	1	2280	2280	100.0	100.0	2280	0.0
HE584753.1	gi|229576677|gb|GQ120442.1|_Influenza_A_virus_(A/Canada-NS/RV1535/2009(H1N1))_segment_1_polymerase_PB2_(PB2)_gene,_complete_cds	14	2293	2249	100.0	98.64035087719299	2280	0.0
HE584753.1	gi|229783392|gb|CY039900.1|_Influenza_A_Virus_(A/New_York/1669/2009(H1N1))_segment_1,_complete_sequence	1	2280	2249	100.0	98.64035087719299	2280	0.0
HE584753.1	gi|229892687|gb|GQ132136.1|_Influenza_A_virus_(A/Canada-NS/RV1538/2009(H1N1))_segment_1_polymerase_PB2_(PB2)_gene,_complete_cds	14	2293	2249	100.0	98.64035087719299	2280	0.0
HE584753.1	gi|237659665|gb|GQ162177.1|_Influenza_A_virus_(A/Mexico/4486/2009(H1N1))_segment_1_polymerase_PB2_(PB2)_gene,_complete_cds	1	2280	2249	100.0	98.64035087719299	2280	0.0
HE584753.1	gi|237681709|gb|GQ166207.1|_Influenza_A_virus_(A/Hamburg/4/2009(H1N1))_segment_1_polymerase_PB2_(PB2)_gene,_complete_cds	20	2299	2249	100.0	98.64035087719299	2280	0.0
HE584753.1	gi|238015559|gb|GQ200224.1|_Influenza_A_virus_(A/Kansas/03/2009(H1N1))_segment_1_polymerase_PB2_(PB2)_gene,_complete_cds	1	2280	2249	100.0	98.64035087719299	2280	0.0
HE584753.1	gi|238231158|gb|CY040741.1|_Influenza_A_virus_(A/New_York/3240/2009(H1N1))_segment_1,_complete_sequence	1	2280	2249	100.0	98.64035087719299	2280	0.0
HE584753.1	gi|241959782|gb|GQ323537.1|_Influenza_A_virus_(A/Missouri/04/2009(H1N1))_segment_1_polymerase_PB2_(PB2)_gene,_complete_cds	1	2280	2249	100.0	98.64035087719299	2280	0.0
HE584754.1	gi|346453268|emb|HE578806.1|_Influenza_A_virus_(A/swine/Villa_Clara/84/2010(H1N1))_PB1_gene_for_polymerase_PB1,_genomic_RNA	1	2379	2379	100.0	100.0	2379	0.0
HE584754.1	gi|347298891|emb|HE584754.1|_Influenza_A_virus_(A/swine/La_Habana/130/2010(H1N1))_segment_2,_complete_genome	1	2379	2379	100.0	100.0	2379	0.0
HE584754.1	gi|347360869|emb|HE589464.1|_Influenza_A_virus_(A/swine/Pinar_del_Rio/3/2010(H1N1))_segment_2,_complete_genome	1	2379	2379	100.0	100.0	2379	0.0
HE584754.1	gi|347298873|emb|HE584746.1|_Influenza_A_virus_(A/swine/Holguin/121/2010(H1N1))_segment_2,_complete_genome	1	2379	2378	100.0	99.95796553173602	2379	0.0
HE584754.1	gi|254575521|gb|GQ402319.1|_Influenza_A_virus_(A/Canada-QC/RV1954/2009(H1N1))_segment_2_polymerase_PB1_(PB1)_gene,_complete_cds;_and_nonfunctional_PB1-F2_protein_(PB1-F2)_gene,_complete_sequence	11	2290	2266	100.0	99.3859649122807	2280	0.0
HE584754.1	gi|273678025|gb|CY052224.1|_Influenza_A_virus_(A/Texas/44301765/2009(H1N1))_segment_2,_complete_sequence	5	2284	2266	100.0	99.3859649122807	2280	0.0
HE584754.1	gi|284177651|gb|CY054668.1|_Influenza_A_virus_(A/Russia/171/2009(H1N1))_segment_2_sequence	31	2310	2266	100.0	99.3859649122807	2280	0.0
HE584754.1	gi|373428696|gb|CY106574.1|_Influenza_A_virus_(A/Merida/2189-CIR/2009(H1N1))_polymerase_PB1_(PB1)_gene,_complete_cds;_and_PB1-F2_gene,_complete_sequence	5	2284	2266	100.0	99.3859649122807	2280	0.0
HE584754.1	gi|387392441|gb|CY118205.1|_Influenza_A_virus_(A/Malaysia/2076212/2009(H1N1))_polymerase_PB1_(PB1)_gene,_complete_cds;_and_PB1-F2_gene,_complete_sequence	10	2289	2265	100.0	99.34210526315789	2280	0.0
HE584754.1	gi|392357468|gb|CY121854.1|_Influenza_A_virus_(A/reassortant/NYMC_X-205(NYMC_X-157_x_South_Carolina/10/2010)(H1N1))_polymerase_PB1_(PB1)_gene,_complete_cds;_and_PB1-F2_gene,_complete_sequence	13	2292	2265	100.0	99.34210526315789	2280	0.0
HE584755.1	gi|347298893|emb|HE584755.1|_Influenza_A_virus_(A/swine/La_Habana/130/2010(H1N1))_segment_3,_complete_genome	1	2202	2202	100.0	100.0	2202	0.0
HE584755.1	gi|347360871|emb|HE589465.1|_Influenza_A_virus_(A/swine/Pinar_del_Rio/3/2010(H1N1))_segment_3,_complete_genome	1	2202	2202	100.0	100.0	2202	0.0
HE584755.1	gi|346453270|emb|HE578807.1|_Influenza_A_virus_(A/swine/Villa_Clara/84/2010(H1N1))_PA_gene_for_polymerase_PA,_genomic_RNA	1	2202	2201	100.0	99.95458673932788	2202	0.0
HE584755.1	gi|347298875|emb|HE584747.1|_Influenza_A_virus_(A/swine/Holguin/121/2010(H1N1))_segment_3,_complete_genome	1	2202	2193	100.0	99.59128065395096	2202	0.0
HE584755.1	gi|393711381|gb|CY124019.1|_Influenza_A_virus_(A/Singapore/ON547/2009(H1N1))_polymerase_PA_(PA)_gene,_complete_cds	3	2204	2187	100.0	99.31880108991825	2202	0.0
HE584755.1	gi|393711651|gb|CY124138.1|_Influenza_A_virus_(A/Singapore/ON819/2009(H1N1))_polymerase_PA_(PA)_gene,_complete_cds	25	2226	2187	100.0	99.31880108991825	2202	0.0
HE584755.1	gi|284177599|gb|CY054645.1|_Influenza_A_virus_(A/Russia/19/2009(H1N1))_segment_3_sequence	31	2232	2186	100.0	99.27338782924615	2202	0.0
HE584755.1	gi|294546825|gb|CY060741.1|_Influenza_A_virus_(A/Ontario/9698/2009(H1N1))_segment_3_sequence	25	2226	2186	100.0	99.27338782924615	2202	0.0
HE584755.1	gi|311517491|gb|CY076762.1|_Influenza_A_virus_(A/Ontario/147265/2009(H1N1))_segment_3_sequence	25	2226	2186	100.0	99.27338782924615	2202	0.0
HE584755.1	gi|311517555|gb|CY076770.1|_Influenza_A_virus_(A/Ontario/147723/2009(H1N1))_segment_3_sequence	25	2226	2186	100.0	99.27338782924615	2202	0.0
HE584756.1	gi|347298895|emb|HE584756.1|_Influenza_A_virus_(A/swine/La_Habana/130/2010(H1N1))_segment_4,_complete_genome	1	1752	1752	100.0	100.0	1752	0.0
HE584756.1	gi|254728927|gb|GQ411897.1|_Influenza_A_virus_(A/Toronto/T5308/2009(H1N1))_segment_4_hemagglutinin_(HA)_gene,_complete_cds	14	1765	1730	100.0	98.74429223744292	1752	0.0
HE584756.1	gi|302315415|gb|HQ011423.1|_Influenza_A_virus_(A/Guangdong/55/2009(H1N1))_segment_4_hemagglutinin_(HA)_gene,_complete_cds	39	1790	1730	100.0	98.74429223744292	1752	0.0
HE584756.1	gi|546236540|gb|KF612096.1|_Influenza_A_virus_(A/Santa_Cruz/21641/2009(H1N1))_segment_4_hemagglutinin_(HA)_gene,_complete_cds	33	1777	1725	100.0	98.8538681948424	1745	0.0
HE584756.1	gi|546236578|gb|KF612094.1|_Influenza_A_virus_(A/Santa_Cruz/94841/2009(H1N1))_segment_4_hemagglutinin_(HA)_gene,_complete_cds	33	1777	1725	100.0	98.8538681948424	1745	0.0
HE584756.1	gi|281484950|gb|CY053627.1|_Influenza_A_virus_(A/Russia/165/2009(H1N1))_segment_4_sequence	63	1814	1729	100.0	98.68721461187215	1752	0.0
HE584756.1	gi|308097662|gb|CY075482.1|_Influenza_A_virus_(A/Nizhny_Novgorod/RII2/2009(H1N1))_segment_4_sequence	20	1771	1729	100.0	98.68721461187215	1752	0.0
HE584756.1	gi|258589189|gb|CY039527.2|_Influenza_A_virus_(A/Netherlands/602/2009(H1N1))_segment_4_sequence	33	1777	1724	100.0	98.79656160458453	1745	0.0
HE584756.1	gi|546236597|gb|KF612093.1|_Influenza_A_virus_(A/Santa_Cruz/46631/2009(H1N1))_segment_4_hemagglutinin_(HA)_gene,_complete_cds	33	1777	1724	100.0	98.79656160458453	1745	0.0
HE584756.1	gi|294544982|gb|CY060558.1|_Influenza_A_virus_(A/Ontario/26184/2009(H1N1))_segment_4_sequence	17	1766	1727	100.0	98.68571428571428	1750	0.0
